ID, NumberOfTotalCharactersMean, NumberOfTotalCharactersStd, NumberOfUppercaseCharactersMean,NumberOfUppercaseCharactersStd, NumberOfLowercaseCharactersMean,NumberOfLowercaseCharactersStd, NumberOfSpecialCharactersMean, NumberOfSpecialCharactersStd, NumberOfNumbersMean, NumberOfNumbersStd, NumberOfBlanksMean, NumberOfBlanksStd, NumberOfWordsMean, NumberOfWordsStd, LengthOfWordsMean,LengthOfWordsStd, NumberOfPropositionsMean, NumberOfPropositionsStd, PropositionsLengthMean, PropositionsLengthStd, NumberOfPunctuationCharactersMean, NumberOfPunctuationCharactersStd, NumberOfLowercaseWordsMean, NumberOfLowercaseWordsStd, NumberOfUppercaseWordsMean,NumberOfUppercaseWordsStd, NumberOfBigramsMean, NumberOfBigramsStd, NumberOfTrigramsMean, NumberOfTrigramsStd,HapaxTokenRatioMean, HapaxTokenRatioStd, VocabularyRichnessMean, VocabularyRichnessStd, FleschKincaidGradeLevelMean, FleschKincaidGradeLevelStd, FleschReadingEaseMean,FleschReadingEaseStd, DaleChallReadabilityMean, DaleChallReadabilityStd, AutomatedReadabilityIndexMean, AutomatedReadabilityIndexStd, ColemanLiauIndexMean, ColemanLiauIndexStd, GunningFogMean, GunningFogStd,SMOG(SimpleMeasureOfGobbledygook)Mean,SMOG(SimpleMeasureOfGobbledygook)Std,LinsearWriteMean,LinsearWriteStd,Author,Class
13,84.3255814,13.13564462,3.604651163,2.479117762,63.46511628,12.42343778,5.558139535,1.660797309,0.186046512,0.444909918,11.51162791,2.722619233,12.51162791,2.722619233,7.543023256,1.474012929,2.139534884,0.346503824,5.926511628,1.400424992,2.813953488,1.385234662,10.04651163,3.430055179,0.23255814,0.563923519,16.51162791,2.748124883,15.51162791,2.748124883,0.828372093,0.058346608,0.975813953,0.057515723,9.760465116,4.449987695,45.9927907,34.00956755,11.01627907,1.972208092,12.76046512,3.952105093,13.78372093,4.921213229,11.64162791,4.170161968,0,0,6.994186047,1.72405044,AI,1
69,71.56363636,6.053589878,11.34545455,4.652343229,43.12727273,6.91258285,7.363636364,1.469243916,0,0,9.727272727,0.943003817,10.72727273,0.943003817,7.973818182,1.258159537,4.436363636,0.531332334,2.677272727,0.352499927,6.363636364,1.469243916,6.745454545,1.429789327,1.490909091,0.850085071,16.09090909,1.871049557,15.09090909,1.871049557,0.724181818,0.054228168,0.995454545,0.033402133,7.803636364,2.896516004,53.654,18.89681229,8.442727273,1.496339114,12.76363636,3.377215832,12.88054545,3.971881358,9.593636364,3.147334436,0,0,5.086363636,1.936619701,AI,1
20412275,109.3888889,13.92096297,3.722222222,0.80315735,84.5,13.02668202,5.277777778,1.145307118,0,0,15.88888889,2.354402233,16.88888889,2.354402233,7.729444444,1.0053439,2.055555556,0.229061424,8.296111111,1.375391415,3.222222222,1.181127313,12.66666667,2.494438258,0,0,20.61111111,2.60637869,19.61111111,2.60637869,0.820555556,0.084292627,0.952222222,0.085670918,11.47777778,2.180865158,41.19222222,17.9797777,9.751666667,1.741826149,13.65,2.48310961,13.68833333,3.599804393,13.51555556,3.374891311,0,0,11.19444444,2.381286352,AI,1
20640522,90.08,12.39812889,1,0,75.12,10.21496941,2.24,0.68,0,0,11.72,2.569357896,12.72,2.569357896,8.1978,0.765810133,1,0,12.72,2.569357896,2.24,0.68,11.72,2.569357896,0,0,13.94,2.59545757,12.94,2.59545757,0.9276,0.092467508,1,0,12.056,3.744391005,31.3238,28.04657918,12.7072,1.95250305,14.484,3.216355702,17.1402,4.339518632,14.879,5.274907487,0,0,8.86,2.473944219,AI,1
23808818,76.12,10.61063617,1,0,64.42,9.52699323,2,0.2,0.02,0.14,8.68,1.448309359,9.68,1.448309359,8.0726,0.774911117,1,0,9.68,1.448309359,2,0.2,8.68,1.448309359,0,0,10.64,1.452721584,9.64,1.452721584,0.9234,0.085102526,1,0,12.782,4.170740462,20.7032,30.40111277,13.9668,2.263588691,16.448,3.362751255,20.5196,4.21322345,16.632,6.516344681,0,0,7.08,1.929663183,AI,1
25184645,83.9,10.55319857,1,0,71.14,9.602103936,2.08,0.337045991,0,0,9.68,1.377534029,10.68,1.377534029,8.2584,0.774930603,1,0,10.68,1.377534029,2.08,0.337045991,9.68,1.377534029,0,0,11.72,1.442775104,10.72,1.442775104,0.8404,0.058308147,1,0,13.43,3.655967724,17.8266,26.36426313,14.2092,2.056376269,16.824,3.152812078,20.7708,3.978140189,18.3584,5.528327183,0,0,8.54,2.106751053,AI,1
26683817,82.02325581,8.439906238,9.441860465,1.317190908,56,7.332628578,4.23255814,0.521054802,0,0,12.34883721,1.507866519,13.34883721,1.507866519,7.052325581,0.865769821,2.906976744,0.290465023,4.642790698,0.733406596,2.23255814,0.521054802,9.488372093,1.452697459,1.23255814,0.42246284,16.58139535,1.573509751,15.58139535,1.573509751,0.735813953,0.062290862,0.99744186,0.016578639,5.169767442,2.290986878,71.23813953,16.92363261,7.798604651,1.168886533,6.976744186,2.171253759,8.57255814,2.523176379,5.539534884,2.25572136,0,0,3.273255814,1.154885922,AI,1
26967415,86.67272727,9.371241395,11.38181818,1.81399518,60.09090909,8.077517007,3.309090909,0.710255454,0,0,11.89090909,1.647838554,12.89090909,1.647838554,7.977090909,0.80215771,2.054545455,0.227090836,6.345454545,1.010437922,1.309090909,0.710255454,9.690909091,1.746401258,1.272727273,0.445361771,15.2,1.852762066,14.2,1.852762066,0.787272727,0.076359307,0.997454545,0.018705194,9.78,2.544255562,47.746,18.23217881,9.863636364,2.138137987,12.49818182,2.721997322,14.25818182,3.55209034,13.11909091,2.594237161,0,0,8.822727273,1.739038872,AI,1
27244453,77.54545455,12.35932783,6.262626263,1.784251299,60.12121212,10.91035346,2.404040404,1.153993434,0,0,8.757575758,1.583315209,9.757575758,1.583315209,8.515959596,0.86281887,1.080808081,0.272540153,9.297979798,1.846261842,2.404040404,1.153993434,5.484848485,1.653668321,0.707070707,0.455106276,10.91919192,2.355636986,9.919191919,2.355636986,0.934747475,0.086984771,0.998282828,0.016999133,14.50808081,4.021976919,7.825151515,29.47652555,15.49242424,2.105460957,16.85757576,4.829226906,20.84,5.66879746,18.2059596,5.357437937,0,0,7.313131313,2.16268382,AI,1
27762544,86.28,11.83560729,1,0,73.94,10.38346763,2,0.282842712,0.04,0.28,9.3,2.080865205,10.3,2.080865205,8.6132,0.905800066,1,0,10.3,2.080865205,2,0.282842712,9.3,2.080865205,0,0,11.26,2.105326578,10.26,2.105326578,0.9788,0.055736523,1,0,16.362,4.693224478,-3.9544,35.67641962,15.5568,2.157184684,19.782,5.035779582,24.4098,6.357231312,21.6254,6.488794406,0,0,8.79,2.064194758,AI,1
28298712,122.6176471,16.34735939,7.117647059,1.105193778,89.38235294,14.25402875,7.029411765,1.339123816,0,0,19.08823529,2.726424582,20.08823529,2.726424582,7.908235294,1.075905831,3,0,6.696176471,0.908881066,4.794117647,1.051033434,16.23529412,3.299365568,2.176470588,0.567273574,25.70588235,3.425934066,24.70588235,3.425934066,0.742941176,0.058184767,0.982647059,0.038524921,6.641176471,2.386496034,65.13294118,17.3586943,8.940588235,1.177020019,8.208823529,2.487896306,9.421470588,3.008662134,9.057352941,3.057777267,0,0,5.419117647,1.065364803,AI,1
29552151,138.0408163,20.4878851,4.918367347,1.454573852,109.2857143,17.47301126,5.020408163,1.151570284,0,0,18.81632653,2.708064068,19.81632653,2.708064068,8.097346939,0.985181586,2.551020408,0.497390106,7.958979592,1.331461135,3.020408163,1.151570284,16.28571429,2.523360248,0,0,23.7755102,2.901549946,22.7755102,2.901549946,0.795714286,0.073651136,0.978163265,0.039210238,12.06326531,2.834387518,33.47081633,17.32101023,10.1344898,1.561898454,13.9755102,3.031503339,15.37183673,3.618626232,13.68469388,3.682199931,0,0,10.43367347,4.158767328,AI,1
30089873,78.3,8.33126641,1.45,0.920597632,63.96,6.832159249,3.64,1.52,0.11,0.487749936,9.14,1.600124995,10.14,1.600124995,8.3035,1.055953006,2.2,1.208304597,6.6869,3.536108792,3.63,1.527448853,8.4,1.476482306,0.17,0.401372645,12.1,2.027313493,11.1,2.027313493,0.895,0.102102889,1,0,14.261,4.429783178,9.6188,33.31347803,14.7869,2.347707262,17.98,5.83228943,21.404,6.677972597,18.5368,5.802003426,0,0,7.515,1.515264003,AI,1
31040071,93.3,6.322183167,1.38,0.891964125,76.9,5.696490147,4.8,1.183215957,0.06,0.237486842,10.16,1.137717012,11.16,1.137717012,7.259,0.697487634,2.86,0.490306027,4.2928,0.715818524,4.78,1.171153278,10.82,1.177964346,0.12,0.324961536,15.52,1.757725803,14.52,1.757725803,0.7044,0.084241557,0.9222,0.039612624,15.854,2.920630754,1.0672,21.71430239,16.7498,1.566406703,19.488,3.019976159,22.5996,3.768288184,20.355,4.982588183,0,0,9.38,1.963568181,AI,1
32289927,160.6111111,12.29335362,2.166666667,0.372677996,132.8148148,10.88334452,5.833333333,0.81080664,0,0,19.7962963,1.809231775,20.7962963,1.809231775,7.823518519,0.41158752,4,0,5.449074074,0.452307944,5.833333333,0.81080664,17.7962963,1.809231775,0,0,24.53703704,1.97871042,23.53703704,1.97871042,0.691296296,0.067441231,0.950925926,0.054306009,14.43333333,2.084599615,9.256481481,15.5914414,13.64611111,1.223040257,17.13518519,1.982530875,20.79351852,2.51160872,17.30592593,3.303379593,0,0,8.24537037,1.231803425,AI,1
32988810,115.28125,15.50047252,5.5,0.707106781,92,13.26178721,4.15625,0.711924109,0.21875,0.413398642,13.40625,2.119247729,14.40625,2.119247729,8.32,0.477820573,2.875,0.330718914,5.0115625,0.446059899,2.15625,0.711924109,10.625,1.899835519,0.0625,0.242061459,17.5,2.46221445,16.5,2.46221445,0.8734375,0.039734224,0.9971875,0.015659337,15.934375,3.384672194,-5.2140625,23.88841428,11.789375,1.410959198,15.98125,3.461524005,19.934375,4.030937343,11.9003125,3.745679582,0,0,5.2265625,1.256793065,AI,1
33411297,135.8148148,9.847116657,3.481481481,0.876456264,110.0740741,8.447773873,6.666666667,0.745355992,0.018518519,0.13481685,15.57407407,1.558748927,16.57407407,1.558748927,8.910185185,0.524271949,4,0,4.393518519,0.389687232,6.666666667,0.745355992,12.83333333,1.329856578,0.5,0.5,21,1.774302158,20,1.774302158,0.653518519,0.046274439,1,0,15.76296296,2.994828648,-4.112592593,22.25908572,15.68851852,0.822602932,19.03703704,2.679710895,22.87722222,3.189441154,22.31851852,3.478899575,0,0,6.865740741,0.926354068,AI,1
33894397,121.7592593,14.85726557,2,0,95.59259259,12.59117639,6.166666667,0.937885723,0,0,18,2.714842605,19,2.714842605,7.461666667,0.896961434,4,0,5,0.678710651,6.166666667,0.937885723,16.01851852,2.69079873,0,0,22.96296296,3.120796212,21.96296296,3.120796212,0.75962963,0.075079291,0.997962963,0.014829853,7.42037037,2.195819229,57.95388889,16.45709083,9.543888889,1.949767713,10.50185185,2.863337262,12.58462963,3.530927752,9.73537037,2.762817076,0,0,5.333333333,0.892354356,AI,1
34116023,101.74,7.246544004,2,0,80.76,6.833915422,5.96,1.799555501,0,0,13.02,1.448999655,14.02,1.448999655,7.7464,0.817950512,3.98,0.14,3.7716,0.369136072,5.96,1.799555501,11.06,1.42,0,0,17.86,2.039705861,16.86,2.039705861,0.6568,0.097845593,1,0,10.106,3.194896555,34.2428,23.49285696,13.2346,1.854685105,14.236,3.532011325,16.8486,4.029449595,12.5882,4.938949155,0,0,4.185,0.661078664,AI,1
36666899,131.7833333,8.2544769,2,0,104.4333333,7.340224035,5.833333333,0.734090518,0,0,19.51666667,2.093574827,20.51666667,2.093574827,6.605,0.680346725,4,0,5.379166667,0.523393707,5.833333333,0.734090518,17.93333333,2.128118627,0,0,24.33333333,2.241031509,23.33333333,2.241031509,0.717166667,0.074433229,0.988833333,0.029949495,6.038333333,2.263705787,69.18566667,17.42677101,11.9955,1.637007865,10.82666667,2.794510492,13.03633333,3.488982166,7.397833333,2.552155358,0,0,5.004166667,0.651107497,AI,1
37060280,141.884058,21.56455508,5.47826087,1.071484081,116.0434783,17.92612439,4.927536232,1.354743043,0.275362319,0.739840523,15.15942029,3.338936689,16.15942029,3.338936689,9.081884058,0.889740681,2.405797101,0.491045633,6.910289855,0.905746503,2.927536232,1.354743043,13.2173913,3.38311907,0.173913043,0.379034691,20.27536232,4.711638559,19.27536232,4.711638559,0.81115942,0.06832438,0.984637681,0.032149096,17.27246377,4.767489056,-6.922173913,33.66895929,14.7557971,2.180754028,22.33768116,4.897118391,26.21202899,5.840296444,19.72608696,5.350101236,0,0,10.45652174,3.245944103,AI,1
38254693,90.7375,7.84656573,1.0125,0.11110243,77.5,7.153670387,2.3375,0.590418284,0,0,9.8875,1.96210187,10.8875,1.96210187,8.637,0.990566,1.0125,0.11110243,10.79375,1.942443291,2.3375,0.590418284,9.9625,1.99024967,0,0,11.95,2.102974084,10.95,2.102974084,0.97525,0.062469493,0.996,0.026720778,15.9725,5.345955831,-0.183625,40.58342224,15.3735,2.377817855,19.92125,5.550623698,24.366375,7.160108806,20.153,6.989439963,0,0,9.015625,1.97813981,AI,1
38788028,108.38,9.560104602,3.52,0.754718491,90.66,9.27062026,3.94,0.369323706,0,0,10.26,1.091970696,11.26,1.091970696,9.3212,0.98001151,2,0,5.63,0.545985348,1.94,0.369323706,8.24,1.087382178,0.04,0.28,14.16,1.12,13.16,1.12,0.8048,0.078491783,0.951,0.061032778,21.11,4.798551865,-36.2342,35.58344767,15.3648,2.302381584,25.666,5.542259828,30.5844,6.919935595,22.9402,5.951342198,0,0,11.47,1.736116356,AI,1
40502358,103.6818182,15.0465531,5.318181818,0.512246712,85.36363636,13.61164426,3.386363636,0.531546162,0,0,9.613636364,2.327854153,10.61363636,2.327854153,11.82886364,1.243214704,2,0,5.318181818,1.163316717,1.386363636,0.531546162,7.772727273,2.304774061,0,0,12.93181818,2.310034703,11.93181818,2.310034703,0.839090909,0.055995868,0.996818182,0.020864577,21.10227273,5.995850407,-37.36340909,45.60618558,13.53136364,2.764034922,27.09545455,7.68469419,32.46613636,9.279811963,20.24772727,4.895349307,0,0,8.875,2.034154392,AI,1
40779066,93.41176471,4.818983989,5.921568627,3.629093428,72.21568627,5.702815698,3.62745098,0.88474621,0,0,11.64705882,1.355070788,12.64705882,1.355070788,7.145490196,0.758732983,2.901960784,0.297367664,4.422745098,0.782409748,3.62745098,0.88474621,9.509803922,1.319128486,0.470588235,0.572334099,15.25490196,1.619042773,14.25490196,1.619042773,0.810196078,0.068642015,1,0,8.854901961,3.446584767,40.61666667,24.60144222,13.58372549,2.200542679,11.9254902,3.846915909,14.29764706,4.384823018,10.17823529,4.484611031,5.317647059,4.083141134,2.664901961,1.396098728,AI,1
40812882,94.75,4.902413064,3.096153846,1.712618501,75.25,5.529205674,3,1,0.153846154,0.53293871,13.25,1.662655429,14.25,1.662655429,7.243076923,0.862769553,2.269230769,0.484981547,6.541923077,1.543159893,2.596153846,0.766099396,11.75,1.796096194,0.230769231,0.608130319,15.98076923,2.107590537,14.98076923,2.107590537,0.944807692,0.069517302,0.991730769,0.02867062,8.036538462,2.945271885,51.66192308,20.4983444,11.46576923,2.363857137,9.869230769,3.649633199,12.7075,4.255138918,10.47807692,4.543561395,0.415384615,1.70060901,4.656923077,2.174733882,AI,1
41950305,68.48,9.319313279,1,0,57.76,8.208678335,2.26,1.110135127,0,0,7.46,1.486068639,8.46,1.486068639,8.2744,1.058119388,1.02,0.14,8.41,1.605272563,2.26,1.110135127,7.46,1.486068639,0,0,9.5,1.824828759,8.5,1.824828759,0.8986,0.116995897,1,0,14.056,4.366516232,9.4206,32.44721433,14.7734,2.463732623,17.368,4.831788075,21.5112,5.663815195,17.9772,5.444358563,0,0,6.45,1.588238017,AI,1
43831327,93.88679245,6.53195448,2.698113208,1.174973394,77.03773585,6.219149563,2.490566038,0.742830932,0.056603774,0.408175616,11.60377358,1.187030903,12.60377358,1.187030903,7.647924528,0.770323036,2,0.336463292,6.509433962,1.465342275,2.41509434,0.711998576,10.32075472,1.161872024,0.188679245,0.39125361,13.8490566,1.365286982,12.8490566,1.365286982,0.879056604,0.10192976,0.990377358,0.029966161,9.618867925,2.673564267,37.92811321,19.17098693,13.20528302,1.688192741,12.83018868,2.832598974,16.6,3.30535586,11.41811321,4.073726705,0,0,3.891509434,1.104781027,AI,1
48213787,101.4285714,5.827450873,3.12244898,1.081054909,82.42857143,6.111214182,3.734693878,0.964164229,0,0,12.14285714,1.293626448,13.12244898,1.271872363,7.587142857,0.861304184,2.93877551,0.313516153,4.514897959,0.629305164,3.734693878,0.964164229,10.14285714,1.212183053,0.06122449,0.313516153,15.67346939,1.81138976,14.67346939,1.81138976,0.826122449,0.064643965,0.994897959,0.020012491,10.82244898,4.18594662,27.24653061,30.13668851,13.74428571,2.328098111,13.7244898,4.26363506,16.82938776,5.18531144,12.66489796,5.669511415,4.371428571,4.669440381,3.30244898,1.097447001,AI,1
49709134,82.94339623,8.120356657,2.018867925,0.136058539,68.20754717,7.511898714,2.245283019,0.510481104,0,0,10.47169811,1.222490091,11.47169811,1.222490091,7.303773585,0.898701845,2,0,5.735849057,0.611245045,2.245283019,0.510481104,9.452830189,1.206367348,0.018867925,0.136058539,12.67924528,1.450745871,11.67924528,1.450745871,0.861320755,0.066589073,1,0,9.409433962,3.333436334,41.41830189,24.73182006,13.34566038,2.121873958,12.43396226,3.575806725,15.71830189,4.25677916,11.95150943,4.778933487,0,0,4.603773585,2.078321371,AI,1
50357236,126.8717949,11.70399775,5.128205128,1.30442024,104.4871795,11.1697205,4.102564103,0.744031699,0.179487179,0.635359574,12.97435897,1.818525459,13.97435897,1.818525459,9.071282051,1.04159685,2,0,6.987179487,0.90926273,2.102564103,0.744031699,10.82051282,1.677479716,0.307692308,0.461538462,16.82051282,2.023855104,15.82051282,2.023855104,0.841025641,0.06054432,0.976923077,0.039623474,19.21794872,4.355124997,-17.76846154,33.24699512,16.05615385,1.704691288,24.47435897,4.646516089,28.21333333,6.144130546,21.46205128,4.921433072,0,0,12.62820513,1.753085005,AI,1
50901303,92.74509804,6.410295448,2,0,77.01960784,5.682757533,2.392156863,0.659126914,0,0,11.33333333,1.592465922,12.33333333,1.592465922,7.809019608,0.691781601,2,0,6.166666667,0.796232961,2.392156863,0.659126914,10.33333333,1.592465922,0,0,13.66666667,1.722591147,12.66666667,1.722591147,0.968431373,0.05845637,1,0,10.30588235,2.730898851,32.62019608,20.54932559,13.14901961,2.219896884,13.30784314,3.677480123,17.11627451,4.216505365,11.95745098,3.732254138,0,0,3.843137255,0.991335978,AI,1
53102055,79.62264151,9.964515183,3.113207547,0.316846333,63.8490566,8.378760719,3.169811321,0.375466957,0,0,9.490566038,1.879608967,10.49056604,1.879608967,7.610377358,0.802801609,3,0,3.497169811,0.626627323,2.075471698,0.264150943,7.433962264,1.78578701,0.037735849,0.190556697,12.64150943,2.065843878,11.64150943,2.065843878,0.851132075,0.061786619,1,0,11.03584906,3.898528718,32.50433962,28.41396763,13.12660377,2.210441724,15.24528302,4.02330785,18.48245283,4.829304769,14.80169811,5.34287702,0,0,6.226415094,1.830212993,AI,1
