ID, NumberOfTotalCharactersMean, NumberOfTotalCharactersStd, NumberOfLowercaseCharactersMean,NumberOfLowercaseCharactersStd, NumberOfSpecialCharactersMean, NumberOfSpecialCharactersStd, NumberOfBlanksMean, NumberOfBlanksStd, NumberOfWordsMean, NumberOfWordsStd, LengthOfWordsMean,LengthOfWordsStd, PropositionsLengthMean, PropositionsLengthStd, NumberOfPunctuationCharactersMean, NumberOfPunctuationCharactersStd, NumberOfLowercaseWordsMean, NumberOfLowercaseWordsStd, FleschKincaidGradeLevelMean, FleschKincaidGradeLevelStd, FleschReadingEaseMean,FleschReadingEaseStd, DaleChallReadabilityMean, DaleChallReadabilityStd, AutomatedReadabilityIndexMean, AutomatedReadabilityIndexStd, ColemanLiauIndexMean, ColemanLiauIndexStd, GunningFogMean, GunningFogStd,LinsearWriteMean,LinsearWriteStd,Author,Class
53,59.63333333,6.935336249,45.46666667,6.761327943,3.4,0.8,6.266666667,1.123486636,7.266666667,1.123486636,9.168,1.459651557,3.558333333,0.523144871,2.4,0.8,5.3,1.29486164,13.22666667,5.982024927,13.08966667,44.02892091,14.56533333,3.106855574,17.58,5.773987646,20.83233333,7.01702771,15.51466667,7.098042798,4.9,1.019803903,AI,1
122,78.46,10.37344687,61.9,9.644169223,5.42,1.297536127,7.98,1.272635062,8.98,1.272635062,9.734,1.097859736,2.495,0.318158765,4.42,1.297536127,6.1,1.315294644,17.286,5.553125606,-14.6294,40.65331802,15.0462,2.309495088,24.752,5.747668745,28.2706,6.757372096,20.2174,5.908799137,6.95,1.537042615,AI,1
140,142.6511628,15.98965323,105.7674419,15.30289106,7.488372093,0.845565533,20.09302326,1.974417235,21.09302326,1.974417235,7.271860465,0.890634098,4.418604651,0.394883447,6.488372093,0.845565533,15.44186047,2.116406845,8.881395349,2.397310102,49.27767442,17.6734128,11.0255814,1.585847734,12.43023256,3.121831222,14.51069767,3.745375689,10.05604651,3.803367626,5.877906977,0.946800139,AI,1
20307019,139.9285714,16.19140404,109.4285714,14.12047291,6.928571429,1.316431995,17.9047619,2.570987617,18.9047619,2.570987617,8.25952381,0.907411159,3.90952381,0.47794178,5.928571429,1.316431995,13.73809524,2.469427578,12.1547619,3.327676322,23.23809524,24.55972984,11.58547619,1.362538252,15.27857143,3.223835021,18.26595238,3.946353989,13.44190476,3.563409442,6.047619048,1.226809275,AI,1
20412275,122.6,11.33019564,98.2,10.78393867,6.066666667,1.289271974,14.33333333,1.659986613,15.33333333,1.659986613,9.075333333,0.930926898,4.083333333,0.414996653,5.066666667,1.289271974,11.33333333,1.659986613,16.35333333,3.828118192,3.344,28.53899316,12.41133333,1.389752336,21.62666667,3.618004361,23.81,4.822223554,18.91733333,3.877788832,12.6,1.925270544,AI,1
20455924,138.3333333,15.67021236,111.6,14.10815367,7.3,2.722131518,15.43333333,1.977933827,16.43333333,1.977933827,9.478333333,0.834150599,4.358333333,0.494483457,6.3,2.722131518,12.43333333,1.977933827,18.24333333,3.56526608,-8.208666667,26.45129029,13.85766667,1.880924743,24.02666667,3.314707964,25.91866667,4.414898816,20.84466667,4.376438989,14.15,2.121909517,AI,1
20640522,94.3,11.64087626,72.75,9.643002644,6.75,3.28443298,10.6,1.624807681,11.6,1.624807681,9.161,1.058427607,3.15,0.40620192,5.75,3.28443298,7.6,1.624807681,15.035,3.996282648,6.148,30.09686854,13.275,1.706017292,21.495,4.031559872,23.954,4.896211188,17.6845,4.357235907,8.6,1.577973384,AI,1
21131225,97.66666667,11.87668117,75.41666667,9.784838044,6.416666667,3.174332826,10.91666667,1.320248293,11.91666667,1.320248293,9.394166667,1.15362081,3.229166667,0.330062073,5.416666667,3.174332826,7.916666667,1.320248293,15.50833333,3.773031127,3.286666667,28.49349877,13.03166667,1.092282269,21.5,5.088713,24.15,5.835976068,16.83583333,2.772785778,8.625,1.023169096,AI,1
21238673,94,8.115241392,73.57142857,8.112726208,5.714285714,0.795394909,10.64285714,0.717848259,11.64285714,0.717848259,9.03,1.054879817,3.160714286,0.179462065,4.714285714,0.795394909,7.642857143,0.717848259,14.52857143,4.610458386,9.911428571,33.52366666,14.03428571,1.540837964,21.00714286,4.66529195,23.99857143,5.804019367,18.35571429,4.818054904,8.821428571,1.576695718,AI,1
21281949,82.38461538,8.241904761,63.23076923,7.040037655,5.615384615,0.923076923,9.461538462,1.393136175,10.46153846,1.393136175,8.98,0.927909147,2.865384615,0.348284044,4.615384615,0.923076923,6.461538462,1.393136175,13.13846154,3.792814758,17.62,28.39559744,13.85769231,1.589044966,20.02307692,3.829873235,22.70923077,4.550794456,14.67923077,5.605408736,6.692307692,1.13575562,AI,1
21289751,105.7,12.01707119,83.5,11.60387866,6.1,0.943398113,11.6,1.019803903,12.6,1.019803903,9.296,0.932386186,3.4,0.254950976,5.1,0.943398113,8.5,0.921954446,18.91,4.519834068,-19.829,32.60770598,13.864,1.70353867,22.66,4.157932178,25.722,5.350005234,21.23,4.514084625,11,2.01246118,AI,1
21345227,123.9,11.20223192,98,9.869143833,6.6,1.2,15.1,1.374772708,16.1,1.374772708,9.061,0.58643755,4.275,0.343693177,5.6,1.2,12.2,1.469693846,14.73,2.030788024,16.389,14.84120376,13.569,1.762909243,20.13,2.582266446,21.568,3.022521464,17.06,3.288461646,12.55,1.25399362,AI,1
21356765,109.1428571,8.373914794,85.71428571,7.905048761,6.571428571,0.903507903,12.71428571,1.160576915,13.71428571,1.160576915,9.068571429,0.724202588,3.678571429,0.290144229,5.571428571,0.903507903,9.714285714,1.160576915,16.01428571,3.925895192,2.972857143,28.59922512,13.96857143,2.114138991,20.98571429,4.231996682,23.16142857,4.997980817,19.42857143,4.063494023,11.42857143,1.935173883,AI,1
21425831,111.7,8.21035931,88.2,6.477653896,6.1,0.3,12.9,1.445683229,13.9,1.445683229,9.344,0.802261803,3.725,0.361420807,5.1,0.3,9.9,1.445683229,16.12,1.958979326,2.541,16.19173335,14.261,1.375990189,21.34,2.187327136,23.831,2.976586804,19.484,3.814593556,11.55,1.059481005,AI,1
21671968,108.8,9.703607577,85.9,9.289241088,6,1,12,1.61245155,13,1.61245155,9.22,1.000669776,3.5,0.403112887,5,1,8.9,1.374772708,19.54,4.494707999,-23.618,33.83287685,14.114,1.769854231,22.76,4.584146595,25.788,5.867228988,22.401,4.605554147,11.7,1.8734994,AI,1
21959183,93,7.26636085,70.2,6.523802572,6.2,0.4,12.6,1.019803903,13.6,1.019803903,7.75,0.826897817,3.65,0.254950976,5.2,0.4,9.6,1.019803903,11.02,1.778088862,38.384,12.53851443,11.498,1.99286126,15.02,2.144201483,16.074,2.643381168,14.636,3.430297946,9.2,1.630950643,AI,1
22020084,90.6,6.711184694,68.4,6.019966777,6.6,0.489897949,11.6,1.019803903,12.6,1.019803903,7.488,0.489301543,3.4,0.254950976,5.6,0.489897949,8.8,1.166190379,10.64,1.390827092,39.4,10.87696465,13.532,2.260463669,16.64,2.685218799,18.01,3.133681541,13.19,4.006689406,7.7,0.81240384,AI,1
22126409,90.86666667,11.41558389,71.16666667,9.237905005,3.6,1.143095213,12.33333333,2.241031509,13.33333333,2.241031509,7.476666667,1.03496001,5.491666667,1.112229243,2.6,1.143095213,10.8,2.119748413,7.52,3.558782563,59.41533333,24.26569921,11.21033333,2.444466518,11.88666667,4.451047317,14.24166667,5.230725306,10.23766667,5.155210105,5.908333333,2.360687871,AI,1
22173597,83.3,9.011659115,64.45,6.953236656,5.25,1.639359631,11,2.549509757,12,2.549509757,8.218,0.957807914,3.848,1.112895323,3.7,1.646207763,10,2.28035085,9.755,3.740919005,40.404,27.96973121,11.429,2.792785169,13.76,4.784495794,15.421,5.375645915,10.918,4.91079179,5.4375,2.821651777,AI,1
22638250,111.875,9.638950928,92.075,9.155292185,4.65,1.314343943,12.825,2.119994104,13.825,2.119994104,9.09125,1.186438341,5.31575,1.199768493,2.35,1.235920709,11.7,1.886796226,14.185,4.346754536,10.37325,29.72197154,12.84225,2.281248,18.895,5.120837334,22.57175,6.088587639,15.0895,3.482193238,7.55,2.996977644,AI,1
