ID, NumberOfTotalCharactersMean, NumberOfTotalCharactersStd, NumberOfLowercaseCharactersMean,NumberOfLowercaseCharactersStd, NumberOfSpecialCharactersMean, NumberOfSpecialCharactersStd, NumberOfBlanksMean, NumberOfBlanksStd, NumberOfWordsMean, NumberOfWordsStd, LengthOfWordsMean,LengthOfWordsStd, PropositionsLengthMean, PropositionsLengthStd, NumberOfPunctuationCharactersMean, NumberOfPunctuationCharactersStd, NumberOfLowercaseWordsMean, NumberOfLowercaseWordsStd, FleschKincaidGradeLevelMean, FleschKincaidGradeLevelStd, FleschReadingEaseMean,FleschReadingEaseStd, DaleChallReadabilityMean, DaleChallReadabilityStd, AutomatedReadabilityIndexMean, AutomatedReadabilityIndexStd, ColemanLiauIndexMean, ColemanLiauIndexStd, GunningFogMean, GunningFogStd,LinsearWriteMean,LinsearWriteStd,Author,Class
53,99.80769231,10.68074915,80.34615385,9.114410854,2.269230769,0.523133481,15.23076923,2.024991782,16.23076923,2.024991782,7.703461538,0.856818544,8.403846154,1.658423897,2.269230769,0.523133481,14.26923077,2.01069625,7.988461538,1.720761666,52.85961538,13.40092806,9.853461538,1.440531265,7.476923077,2.172610569,10.13615385,2.639481413,11.91269231,3.033873581,5.028846154,0.82429143,AI,1
122,76.16,18.14977686,62.56,14.792106,1.32,0.733212111,11.28,3.193994364,12.28,3.193994364,7.4488,0.851870037,12.28,3.193994364,1.32,0.733212111,11.32,3.171371943,10.484,2.38959076,41.7536,19.06715288,11.0896,1.234952566,9.984,2.794663486,12.0776,3.480823213,14.33,3.628700043,8.78,2.615645236,AI,1
140,69.89285714,20.51887508,53.75,16.51541488,1.5,0.731925055,12.28571429,4.069548438,13.28571429,4.069548438,7.146785714,1.14738228,12.625,3.51177865,1.5,0.731925055,12.14285714,4.120630029,6.185714286,2.558977793,73.57,18.3988113,9.535714286,2.072195917,5.628571429,3.431977475,6.539285714,3.968377618,9.446785714,3.712413591,7.071428571,2.340307846,AI,1
20307019,80.09677419,19.08783575,65.74193548,16.25793651,1.290322581,0.681248777,12.06451613,2.804782596,13.06451613,2.804782596,7.454193548,0.799135719,13.06451613,2.804782596,1.290322581,0.681248777,12.12903226,2.870786511,8.606451613,3.054445252,56.58032258,20.93669852,8.927741935,1.822438476,9.751612903,3.420136855,11.62580645,3.93928991,10.45032258,3.944437884,7.822580645,2.698710526,AI,1
20412275,60.03448276,14.51629942,48.96551724,12.21497882,1.172413793,0.377739695,8.827586207,2.478444528,9.827586207,2.478444528,7.735517241,0.949383053,9.827586207,2.478444528,1.172413793,0.377739695,8.862068966,2.528787878,8.465517241,2.770320019,51.87482759,20.89977275,9.808275862,2.15712783,8.389655172,2.952654542,10.91827586,3.638609121,13.14862069,4.083692315,6.465517241,1.933957148,AI,1
20455924,125.84,12.86290791,103.86,11.35607326,3.88,1.305986217,14.64,2.142521879,15.64,2.142521879,8.2442,0.705507165,15.45,2.254440064,3.88,1.305986217,12.24,2.083842604,17.65,2.911992445,-3.9384,21.86596994,13.7682,1.648239898,20.136,3.298833733,22.3994,4.263896063,21.0684,4.199222004,14.315,2.310200208,AI,1
20640522,154.08,13.99548499,126.62,12.21947626,6.42,1.06,17.96,2.01950489,18.96,2.01950489,8.1968,0.596152464,9.48,1.009752445,5.6,0.979795897,15.92,2.038038272,18.384,2.296027874,-2.9322,17.26230591,15.3288,1.204221973,22.02,2.340683661,22.6922,3.049791003,23.4002,3.679567632,17.38,1.955914109,AI,1
21131225,120.84,16.31485213,98.64,14.92884456,4.76,1.273734666,14.44,1.779438114,15.44,1.779438114,7.8966,0.648720618,7.6834,0.972904127,3.94,1.271377206,12.44,1.779438114,14.454,2.925215206,18.7106,20.35510436,13.7562,1.325609128,18.732,3.212004981,20.6862,3.846705546,17.2418,4.270417633,12.045,2.618057486,AI,1
21238673,100.2,12.93213053,81.02,11.0860092,4.26,0.687313611,11.92,2.096091601,12.92,2.096091601,7.8598,0.675684808,6.46,1.048045801,3.44,0.697423831,9.92,2.096091601,13.76,2.920890275,19.4456,22.55862701,14.5202,1.730753004,17.51,2.854347561,20.2782,3.682995352,17.431,4.539151132,10.1,1.933907961,AI,1
21281949,69.48,10.43693442,57.62,9.320708128,2.22,0.575847202,7.62,1.586064311,8.62,1.586064311,8.5096,0.938545598,8.62,1.586064311,2.22,0.575847202,6.6,1.6,13.832,4.319464782,11.2872,32.05724586,13.7706,2.380953935,17.27,5.185103663,21.4584,6.332089184,17.984,5.80459232,6.51,1.44391828,AI,1
21289751,124.2826087,15.54609282,100.7391304,13.67866441,4.586956522,0.822934488,14.60869565,2.608333308,15.60869565,2.608333308,8.464565217,0.92080472,5.202826087,0.868964059,2.782608696,0.857525344,12.63043478,2.665061347,14.99565217,3.627129451,15.35521739,27.77422075,13.86326087,1.829757711,20.03043478,4.455961789,22.22956522,6.026435588,17.21956522,3.443610313,11.89130435,2.16421751,AI,1
21345227,117.66,13.79798536,93.08,12.08940032,5.2,0.916515139,15.18,2.197180011,16.18,2.197180011,7.7452,0.835059854,5.3936,0.732649329,3.38,0.821948904,13.24,2.168501787,12.768,2.809301693,32.3816,20.15001145,12.6358,1.914622772,16.718,2.709811064,17.7336,3.605542822,15.2956,3.371328616,11.55,2.110094785,AI,1
21356765,105.68,14.45744099,86.16,12.29692645,2.8,0.663324958,12.98,2.437129459,13.98,2.437129459,8.856,1.111125555,6.99,1.21856473,1.8,0.663324958,12.06,2.501279672,13.466,2.997039206,23.4468,22.92986205,11.7612,2.088148117,17.324,4.201074148,19.9296,5.616300904,16.0818,3.673532736,10.31,2.046680239,AI,1
21425831,88.96,10.18422309,72.96,8.906087806,2.62,0.891964125,9.84,1.932459573,10.84,1.932459573,9.484,1.238996368,5.38,0.98264948,1.62,0.891964125,8.9,1.992485885,14.538,4.38227749,10.0016,33.10924218,12.457,2.590323725,19.06,4.933599092,23.1546,6.376796754,17.5174,5.262484892,8.14,1.889550211,AI,1
21671968,106.66,13.78783522,89,12.7514705,2.78,0.807217443,11.6,1.876166304,12.6,1.876166304,9.3916,1.156960431,6.2534,0.959774161,1.78,0.807217443,10.6,1.907878403,17.878,4.367163381,-10.887,32.71159154,14.0562,2.333035696,20.868,5.23428849,24.8714,6.716593485,20.2454,5.083579137,10.87,1.880983785,AI,1
21959183,100.04,12.12428967,82.64,11.08830014,2.36,0.557135531,11.62,1.874993333,12.62,1.874993333,9.3252,1.108328904,6.31,0.937496667,1.36,0.557135531,10.64,1.905360858,14.266,3.898441227,15.1794,29.24535528,12.3164,1.947419585,18.31,3.871446758,21.8402,5.155081179,16.1526,4.138298109,9.29,2.02259734,AI,1
22020084,96.98,16.09532851,81.7,14.1721558,1.3,0.754983444,12.94,2.283943957,13.94,2.283943957,8.0954,0.824323262,13.84,2.54841127,1.3,0.754983444,12.92,2.287706275,12.154,3.032372668,32.7934,21.78741037,12.0676,1.622177006,14.114,2.873326295,16.6366,3.551792004,14.9348,4.22938683,9.71,2.510159357,AI,1
22126409,76.08695652,14.9096206,60.63043478,11.97344652,2.586956522,1.208234194,11.26086957,2.862309668,12.26086957,2.862309668,7.65326087,1.085433302,9.295217391,3.515246753,2.586956522,1.208234194,10.95652174,2.99242901,7.908695652,2.933081633,56.43586957,20.97706186,8.55,1.792665007,9.056521739,3.600703565,11.01108696,4.290654267,10.65521739,4.418846859,5.851521739,2.248935949,AI,1
22173597,43.63265306,3.348431723,35.55102041,3.499628111,1.285714286,0.534522484,5.755102041,1.020816245,6.755102041,1.020816245,7.927959184,1.709389412,6.673469388,1.218693765,1.285714286,0.534522484,5.755102041,1.116309741,5.704081633,3.636883572,66.34755102,27.17046795,8.682653061,2.817533134,9.026530612,4.68518183,11.88306122,5.523131397,8.894897959,5.793545713,3.459183673,0.885465027,AI,1
22638250,17.31914894,2.776086201,13.95744681,2.69718093,1.021276596,0.144304893,1.319148936,0.587326542,2.319148936,0.587326542,7.489361702,1.77898298,2.287234043,0.590209851,1.021276596,0.144304893,1.29787234,0.580348157,9.493617021,7.106556884,31.14148936,51.49558729,12.98361702,5.251897904,13.78085106,8.456991022,10.10978723,8.78965119,13.26787234,10.17126761,0.79787234,0.468809884,AI,1
22798846,35.44680851,2.849475582,29.53191489,2.916213399,1.29787234,0.457323091,3.595744681,0.914646181,4.595744681,0.914646181,8.187021277,1.301916615,4.531914894,0.919089833,1.29787234,0.457323091,3.617021277,0.912168132,13.9,7.361718116,3.62893617,54.06890306,12.99255319,3.819536269,15.05957447,8.097639782,17.89595745,8.959272781,17.08744681,7.292888249,2.978723404,0.564531879,AI,1
22812325,20.33333333,2.61309832,16.18181818,2.442732517,1.181818182,0.385694608,1.96969697,0.459568209,2.96969697,0.459568209,6.828484848,1.845609239,2.96969697,0.459568209,1.181818182,0.385694608,2.060606061,0.547135457,5.206060606,6.622090643,62.82090909,47.86722478,9.064848485,5.252361155,9.990909091,6.836726296,8.533636364,6.724220274,6.43969697,9.003275998,0.818181818,0.473833205,AI,1
